txn_id,account_id,customer_id,beneficiary_id,branch_id,txn_type,txn_mode,txn_channel,amount_inr,currency,balance_before,balance_after,reference_number,utr_number,description,txn_status,failure_reason,initiated_at,processed_at,settled_at,reversed_at,created_at
TXN00000011,ACC000011,CUST00011,BEN000011,BR0011,Credit,Online,Mobile Banking,96372.89,INR,120435.19,216808.08,REF912678183898,UTR402727327810,Credit — CUST00011 → BEN000011,Failed,,2025-05-18 13:00:36,2025-05-18 13:01:25,2025-05-20 09:01:25,,2025-05-18 13:00:36
TXN00000012,ACC000012,CUST00012,BEN000012,BR0012,Debit,Offline,Internet Banking,490257.26,INR,832795.73,342538.47,REF877449847333,UTR239733046225,Debit — CUST00012 → BEN000012,Failed,,2025-09-18 13:00:36,2025-09-18 13:00:51,2025-09-19 12:00:51,,2025-09-18 13:00:36
TXN00000013,ACC000013,CUST00013,BEN000013,BR0013,Transfer,Offline,Branch,22853.3,INR,55471.49,78324.79,REF727117904706,UTR616617303633,Transfer — CUST00013 → BEN000013,Timeout,,2025-09-20 13:00:36,2025-09-20 13:01:21,2025-09-20 21:01:21,,2025-09-20 13:00:36
TXN00000014,ACC000014,CUST00014,BEN000014,BR0014,NEFT,Online,ATM,239409.23,INR,341365.23,101956.0,REF638591937347,UTR731678373015,NEFT — CUST00014 → BEN000014,Success,,2026-01-21 13:00:36,2026-01-21 13:00:53,2026-01-22 19:00:53,,2026-01-21 13:00:36
TXN00000015,ACC000015,CUST00015,BEN000015,BR0015,RTGS,Online,POS Terminal,314759.91,INR,54555.47,369315.38,REF374851785492,UTR710394101616,RTGS — CUST00015 → BEN000015,Pending,,2025-12-02 13:00:36,2025-12-02 13:01:28,2025-12-04 01:01:28,,2025-12-02 13:00:36
TXN00000016,ACC000016,CUST00016,BEN000016,BR0016,IMPS,Offline,UPI App,382245.28,INR,606711.33,224466.05,REF436849259207,UTR781047077731,IMPS — CUST00016 → BEN000016,Reversed,,2025-04-06 13:00:36,2025-04-06 13:00:51,2025-04-07 22:00:51,2025-04-10 08:00:51,2025-04-06 13:00:36
TXN00000017,ACC000017,CUST00017,BEN000017,BR0017,UPI,Online,USSD,30209.13,INR,960148.67,990357.8,REF826986119473,UTR272147389364,UPI — CUST00017 → BEN000017,Timeout,,2025-12-28 13:00:36,2025-12-28 13:01:25,2025-12-29 02:01:25,,2025-12-28 13:00:36
TXN00000018,ACC000018,CUST00018,BEN000018,BR0018,ATM Withdrawal,Offline,Phone Banking,120008.6,INR,552440.25,432431.65,REF353543257595,UTR874331514343,ATM Withdrawal — CUST00018 → BEN000018,Reversed,,2025-11-28 13:00:36,2025-11-28 13:00:37,2025-11-29 15:00:37,2025-12-02 04:00:37,2025-11-28 13:00:36
TXN00000019,ACC000019,CUST00019,BEN000019,BR0019,POS,Online,API,141430.91,INR,859747.12,1001178.03,REF226380009561,UTR347152013493,POS — CUST00019 → BEN000019,Pending,,2026-01-11 13:00:36,2026-01-11 13:01:20,2026-01-12 03:01:20,,2026-01-11 13:00:36
TXN00000020,ACC000020,CUST00020,BEN000020,BR0020,Bill Payment,Offline,Bulk Upload,323852.6,INR,908503.03,584650.43,REF922894448206,UTR726310343049,Bill Payment — CUST00020 → BEN000020,Failed,,2025-12-06 13:00:36,2025-12-06 13:00:41,2025-12-06 16:00:41,,2025-12-06 13:00:36
