appraisal_id,employee_id,department_id,reviewer_id,appraisal_cycle,appraisal_year,appraisal_quarter,self_rating,manager_rating,final_rating,rating_label,kpi_score,target_achievement_pct,increment_pct,bonus_amount,appraisal_status,review_period_start,review_period_end,self_submitted_at,manager_reviewed_at,hr_approved_at,created_at,updated_at
APR00011,EMP00011,DEPT011,EMP00012,Annual,2024,Q4,3.8,2.5,3.1,Outstanding,63.0,87.8,5.2,125286.68,Self Review,2025-05-22,2025-11-18,2025-12-03 12:45:53,,,2025-05-08 12:45:53,2026-02-06 12:45:53
APR00012,EMP00012,DEPT012,EMP00013,Mid-Year,2024,Q2,3.6,3.6,3.6,Exceeds Expectations,81.0,61.0,18.7,27425.2,Draft,2025-05-19,2025-11-15,2025-12-21 12:45:53,,,2025-07-05 12:45:53,2026-02-04 12:45:53
APR00013,EMP00013,DEPT013,EMP00014,Quarterly,2024,Annual,2.9,4.1,3.5,Meets Expectations,84.7,71.9,8.9,90091.74,Self Review,2025-07-09,2026-01-05,2026-01-05 12:45:53,,,2025-04-08 12:45:53,2026-01-29 12:45:53
APR00014,EMP00014,DEPT014,EMP00015,Probation,2025,Q2,3.0,3.0,3.0,Below Expectations,70.0,99.3,8.3,92527.29,Disputed,2025-04-22,2025-10-19,2025-12-21 12:45:53,2025-12-30 12:45:53,,2025-06-18 12:45:53,2026-01-21 12:45:53
APR00015,EMP00015,DEPT015,EMP00016,Confirmation,2025,Annual,3.0,2.6,2.8,Unsatisfactory,60.1,86.1,19.4,17214.37,Completed,2025-07-20,2026-01-16,2025-12-11 12:45:53,2025-12-17 12:45:53,2025-12-22 12:45:53,2025-08-31 12:45:53,2026-01-24 12:45:53
APR00016,EMP00016,DEPT016,EMP00017,Annual,2025,Annual,1.1,1.6,1.4,Outstanding,91.7,121.1,6.2,173868.09,Self Review,2025-03-19,2025-09-15,2026-01-15 12:45:53,,,2025-08-24 12:45:53,2026-02-14 12:45:53
APR00017,EMP00017,DEPT017,EMP00018,Mid-Year,2024,Q3,4.6,1.4,3.0,Exceeds Expectations,94.2,129.0,11.0,105143.39,Self Review,2025-05-10,2025-11-06,2026-01-08 12:45:53,,,2025-04-23 12:45:53,2026-01-27 12:45:53
APR00018,EMP00018,DEPT018,EMP00019,Quarterly,2024,Q2,2.1,5.0,3.5,Meets Expectations,67.2,130.0,9.3,22895.16,HR Review,2025-08-04,2026-01-31,2025-12-07 12:45:53,2025-12-17 12:45:53,,2025-09-06 12:45:53,2026-02-13 12:45:53
APR00019,EMP00019,DEPT019,EMP00020,Probation,2025,Q3,2.3,5.0,3.6,Below Expectations,76.8,104.2,20.7,85909.93,Disputed,2025-08-17,2026-02-13,2025-12-07 12:45:53,2025-12-18 12:45:53,,2025-09-18 12:45:53,2026-02-15 12:45:53
APR00020,EMP00020,DEPT020,EMP00001,Confirmation,2025,H2,4.7,4.1,4.4,Unsatisfactory,65.9,68.1,9.5,96103.05,Manager Review,2025-05-20,2025-11-16,2025-12-13 12:45:53,2025-12-18 12:45:53,,2025-03-07 12:45:53,2026-02-08 12:45:53
