Case_ID,Activity,Timestamp,Transaction_ID,Amount,Account_Type
CASE-8766,Login,2023-03-22 23:22:40,52414,4989.27,Savings
CASE-1361,Login,2023-01-28 16:14:04,39474,1773.26,Credit
CASE-6792,Transfer Funds,2023-12-18 10:25:07,45590,1214.44,Credit
CASE-3962,Logout,2023-02-17 14:55:33,24329,2580.4,Savings
CASE-5740,View Statement,2023-11-27 23:13:09,61626,1941.61,Checking
CASE-2971,Transfer Funds,2023-02-26 14:03:59,91771,4813.74,Checking
CASE-4154,Check Balance,2023-08-17 04:27:39,55241,2904.36,Credit
CASE-9757,Transfer Funds,2023-07-02 02:35:55,90887,4812.97,Credit
CASE-7094,Pay Bill,2023-12-03 08:11:04,32664,3613.36,Checking
CASE-7728,Login,2023-11-01 23:31:40,23362,2498.69,Checking
CASE-9820,View Statement,2023-03-28 00:22:26,32337,3906.1,Checking
CASE-8729,View Statement,2023-12-15 21:42:46,11824,2505.08,Checking
CASE-9432,Login,2023-10-20 09:16:50,76550,3737.35,Savings
CASE-5016,Apply Loan,2023-11-10 10:20:48,63142,2466.41,Credit
CASE-4872,Pay Bill,2023-08-06 03:34:32,73285,780.0,Savings
CASE-4456,Pay Bill,2023-07-23 08:04:23,53141,2406.36,Savings
CASE-6096,Login,2023-12-07 07:06:04,86215,2690.41,Checking
CASE-4126,Transfer Funds,2023-03-05 04:21:19,58890,2836.19,Savings
CASE-9767,Login,2023-02-21 16:43:29,69835,4577.25,Checking
CASE-4627,Check Balance,2023-01-08 04:49:33,98086,2254.77,Checking
CASE-6403,Login,2023-04-27 09:26:34,63893,723.77,Checking
CASE-8974,Check Balance,2023-01-20 23:26:47,90060,1184.34,Credit
CASE-1874,View Statement,2023-06-17 02:50:44,94613,1044.02,Checking
CASE-3735,Transfer Funds,2023-12-11 12:57:47,92758,236.54,Savings
CASE-1370,Apply Loan,2023-04-05 01:11:06,48043,3511.58,Savings
CASE-2628,Transfer Funds,2023-06-02 11:43:04,93167,3577.11,Savings
CASE-8566,View Statement,2023-12-01 01:35:16,85114,4056.92,Credit
CASE-5977,Logout,2023-03-12 03:42:19,79856,1313.2,Savings
CASE-9185,Check Balance,2023-10-25 02:47:54,28841,3108.17,Savings
CASE-6214,View Statement,2023-10-20 19:28:05,22712,4277.33,Checking
CASE-5398,View Statement,2023-11-17 01:32:22,40429,168.92,Savings
CASE-9391,Login,2023-05-07 18:07:17,48854,961.51,Checking
CASE-8755,Apply Loan,2023-12-14 15:36:19,59721,475.34,Savings
CASE-9801,Login,2023-07-14 04:10:35,36990,3756.64,Credit
CASE-3243,Login,2023-03-06 18:56:07,97005,2948.35,Credit
CASE-1382,Login,2023-10-04 12:23:00,62171,3540.66,Checking
CASE-5022,Check Balance,2023-03-21 23:43:46,36058,3837.32,Checking
CASE-1349,Check Balance,2023-11-15 03:51:06,22273,2069.5,Credit
CASE-6601,Check Balance,2023-03-04 15:19:49,86040,3994.45,Checking
CASE-4553,View Statement,2023-03-31 15:30:48,14334,1857.59,Checking
