loan_id,customer_id,account_id,branch_id,disbursed_to_account_id,loan_type,loan_purpose,principal_inr,interest_rate_pct,tenure_months,emi_inr,outstanding_inr,total_interest_payable,loan_status,collateral_type,collateral_value_inr,applied_at,sanctioned_at,disbursed_at,next_emi_date,last_payment_at,closed_at,created_at,updated_at
LN000011,CUST00011,ACC000011,BR0011,ACC000012,Home Loan,Home Purchase,7640583.14,11.34,84,132195.29,6361866.72,3463821.22,Written Off,Property,7974073.96,2021-03-21 13:00:36,2021-03-25 13:00:36,2021-04-04 13:00:36,2026-02-24,2026-01-20 13:00:36,,2021-03-21 13:00:36,2021-06-25 13:00:36
LN000012,CUST00012,ACC000012,BR0012,ACC000013,Personal Loan,Medical Emergency,4756113.69,17.5,120,84173.11,1890416.68,5344659.51,Written Off,Gold,7145067.51,2021-05-29 13:00:36,2021-06-11 13:00:36,2021-06-14 13:00:36,2026-02-18,2026-02-07 13:00:36,,2021-05-29 13:00:36,2021-08-13 13:00:36
LN000013,CUST00013,ACC000013,BR0013,ACC000014,Car Loan,Vehicle Purchase,3353347.3,8.15,180,32337.39,468598.52,2467382.9,Written Off,Fixed Deposit,3604272.4,2022-07-27 13:00:36,2022-07-28 13:00:36,2022-07-31 13:00:36,2026-03-16,2026-02-06 13:00:36,,2022-07-27 13:00:36,2022-08-30 13:00:36
LN000014,CUST00014,ACC000014,BR0014,ACC000015,Education Loan,Higher Education,3418684.28,14.97,24,165711.82,2791659.17,558399.4,Written Off,Shares,6401086.39,2021-05-07 13:00:36,2021-05-21 13:00:36,2021-05-30 13:00:36,2026-02-27,2026-01-15 13:00:36,,2021-05-07 13:00:36,2021-05-12 13:00:36
LN000015,CUST00015,ACC000015,BR0015,ACC000016,Business Loan,Business Expansion,6193721.64,9.7,60,130685.88,5869686.75,1647431.16,Pre-Closed,Vehicle,7224138.82,2024-08-15 13:00:36,2024-08-22 13:00:36,2024-08-24 13:00:36,2026-03-11,2026-02-09 13:00:36,2025-12-12 13:00:36,2024-08-15 13:00:36,2024-09-23 13:00:36
LN000016,CUST00016,ACC000016,BR0016,ACC000017,Gold Loan,Gold Pledge,9039069.42,7.53,12,784331.52,2838547.99,372908.82,Closed,None,15201910.31,2023-01-11 13:00:36,2023-01-18 13:00:36,2023-01-21 13:00:36,2026-03-05,2026-01-20 13:00:36,2025-11-26 13:00:36,2023-01-11 13:00:36,2023-02-04 13:00:36
LN000017,CUST00017,ACC000017,BR0017,ACC000018,Mortgage,Property Mortgage,1741337.31,7.91,120,21044.51,1058279.17,784003.89,Closed,Machinery,2183597.53,2023-10-12 13:00:36,2023-10-20 13:00:36,2023-10-30 13:00:36,2026-02-24,2026-01-17 13:00:36,2025-11-17 13:00:36,2023-10-12 13:00:36,2023-11-14 13:00:36
LN000018,CUST00018,ACC000018,BR0018,ACC000019,Overdraft,Working Capital,6685065.14,17.34,180,104498.59,5756432.59,12124681.06,Active,Inventory,13287581.06,2021-05-01 13:00:36,2021-05-10 13:00:36,2021-05-13 13:00:36,2026-03-03,2026-01-24 13:00:36,,2021-05-01 13:00:36,2021-06-09 13:00:36
LN000019,CUST00019,ACC000019,BR0019,ACC000020,Two Wheeler Loan,Bike Purchase,6407440.09,11.88,60,142141.72,2954805.3,2121063.11,Written Off,Land,8851008.98,2023-06-09 13:00:36,2023-06-13 13:00:36,2023-06-20 13:00:36,2026-02-20,2026-01-31 13:00:36,,2023-06-09 13:00:36,2023-07-25 13:00:36
LN000020,CUST00020,ACC000020,BR0020,ACC000001,Agriculture Loan,Crop Production,5769378.71,18.42,60,147825.67,402389.0,3100161.49,Active,Guarantor,11023072.78,2021-06-09 13:00:36,2021-06-16 13:00:36,2021-06-21 13:00:36,2026-03-07,2026-02-12 13:00:36,,2021-06-09 13:00:36,2021-09-13 13:00:36
