Case_ID,Activity,Timestamp,System_ID,Error_Code,Status
CASE-4229,Log Error,2023-04-21 01:29:12,97549,E500,Error
CASE-5176,Update,2023-04-03 07:51:51,42352,E500,Error
CASE-9427,Update,2023-11-19 11:06:57,10847,E500,Error
CASE-3606,Maintenance,2023-07-19 03:33:02,88330,E404,Idle
CASE-3827,System Check,2023-06-08 15:06:59,31764,E200,Error
CASE-3696,Update,2023-09-27 21:53:53,76902,E404,Idle
CASE-9476,System Check,2023-02-15 18:01:57,23638,E200,Active
CASE-2044,Update,2023-02-09 19:40:47,39091,E500,Error
CASE-6939,Restart Service,2023-11-21 04:52:58,85750,E200,Idle
CASE-4204,System Check,2023-01-25 00:48:36,61962,E200,Idle
CASE-9759,Restart Service,2023-05-05 02:00:08,28927,E404,Active
CASE-2460,Maintenance,2023-10-19 20:07:59,78980,E500,Active
CASE-4120,Restart Service,2023-05-15 14:16:21,71910,E404,Active
CASE-9280,Log Error,2023-11-14 18:52:06,65299,E200,Active
CASE-2769,Update,2023-03-10 13:23:10,38643,E404,Idle
CASE-4217,Maintenance,2023-01-12 00:49:06,69222,E500,Error
CASE-2870,Restart Service,2023-04-13 15:27:58,87006,E500,Error
CASE-3348,Maintenance,2023-08-18 01:14:31,40369,E200,Error
CASE-4042,System Check,2023-09-12 13:33:00,88579,E404,Error
CASE-6845,Maintenance,2023-12-04 02:34:07,39056,E200,Active
CASE-6599,Maintenance,2023-07-08 02:15:25,54457,E404,Error
CASE-5278,Log Error,2023-01-23 11:33:18,21666,E500,Idle
CASE-3519,System Check,2023-12-14 02:47:10,91421,E404,Error
CASE-3878,Log Error,2023-09-30 19:31:13,95767,E500,Active
CASE-9385,System Check,2023-11-06 06:11:40,23805,E200,Active
CASE-8874,Log Error,2023-09-14 11:43:55,62067,E404,Idle
CASE-4956,Restart Service,2023-03-14 02:13:14,21597,E200,Active
CASE-5845,Restart Service,2023-07-17 14:05:18,26951,E500,Active
CASE-3771,Restart Service,2023-01-01 07:35:33,16394,E500,Active
CASE-4773,Maintenance,2023-10-24 21:32:43,12828,E404,Error
